Battery,Robbery,Sex_offense,Narcotics,Aggravated_assault
1614,236,27,1111,142
1611,282,30,1016,122
1702,263,31,1075,119
1303,226,24,1163,93
1477,261,24,1092,111
1663,276,27,1112,133
1638,282,28,1011,139
1704,342,45,1074,144
1759,309,43,1021,132
1721,294,37,1028,132
1812,265,32,976,128
1942,327,46,1070,132
1780,290,48,1010,133
1908,313,35,1000,137
1889,339,33,1007,152
1645,335,29,1132,140
1891,343,35,1042,163
1608,366,42,1091,136
1686,326,32,1117,133
1773,312,41,1112,127
1722,333,33,1080,153
1681,312,26,1072,129
1582,356,31,1065,132
1443,295,27,1013,126
1643,320,31,1136,140
1771,288,34,1123,147
1554,303,34,1128,118
1702,355,23,1049,133
1674,352,26,1023,146
1637,317,41,1107,109
1604,300,28,1079,126
1590,334,19,994,129
1487,335,25,906,132
1621,352,30,1011,119
1300,329,18,1020,101
1377,362,26,1097,100
1245,305,14,830,91
1191,364,24,984,99
1099,336,17,873,93
1285,293,23,956,88
1274,328,24,856,96
1198,318,13,747,107
1514,438,61,1058,127
1422,350,29,1020,109
1266,280,20,927,98
1102,235,18,944,77
1144,279,26,860,100
1305,259,14,967,80
1170,229,28,881,79
1260,199,22,966,87
1375,227,30,922,110
1386,278,14,1025,115
1524,286,21,914,105
1217,259,19,866,100
1487,285,31,900,112
1451,263,32,949,136
1481,296,27,791,133
1617,272,17,871,138
1774,311,38,841,148
1519,300,36,823,113
1707,297,24,872,137
1647,277,34,842,114
1691,331,31,843,134
1684,328,23,903,125
1798,339,41,846,139
1866,325,27,786,127
1692,283,38,802,163
1690,299,34,903,126
1682,326,40,797,145
1648,335,31,847,176
1646,301,41,907,131
1654,349,39,1013,145
1701,382,44,959,138
1562,344,33,973,135
1550,375,26,1027,129
1660,348,32,1015,156
1546,342,20,1050,151
1540,302,33,1012,136
1401,368,25,903,118
1640,392,32,880,145
1660,406,33,894,136
1360,383,20,779,112
1498,413,27,888,118
1451,447,30,940,131
1287,373,23,915,99
1421,353,27,907,108
1465,400,28,854,118
1149,361,13,1030,103
1188,321,33,839,66
1208,310,23,913,76
1057,327,27,817,83
1106,333,22,778,84
1109,325,30,707,66
943,262,9,540,68
1315,333,36,906,100
1120,324,13,811,88
1043,269,19,756,83
1114,275,9,877,95
1108,278,16,922,83
1272,235,26,920,86
1239,276,17,992,108
1206,224,22,909,87
1244,243,28,836,103
1359,255,27,880,92
1408,252,30,939,126
1592,292,24,872,142
1377,294,21,939,117
1218,282,28,869,109
1177,248,14,935,107
1421,268,34,767,116
1421,306,20,786,151
1531,300,17,764,124
1561,293,22,838,136
1428,332,25,890,111
1625,302,20,809,130
1541,341,39,799,128
1379,280,34,873,111
1469,288,15,905,120
1455,351,27,700,125
1838,359,17,724,139
1435,384,38,808,133
1438,338,33,739,133
1373,365,33,806,154
1439,365,27,815,103
1462,364,36,844,128
1426,321,28,917,123
1540,342,28,847,152
1358,356,25,878,128
1242,340,28,879,137
1312,277,21,930,104
1409,296,26,923,129
1413,324,33,778,117
1338,342,29,870,144
1136,317,18,790,88
1146,311,19,869,117
1086,305,26,860,105
1230,320,20,820,115
1322,341,22,784,99
1173,310,28,916,102
1287,348,19,870,98
1179,322,21,836,100
1129,269,15,760,79
1044,320,21,803,114
1015,294,15,718,76
1104,330,19,729,79
966,278,11,534,69
1149,309,43,668,75
930,272,14,754,87
1155,314,17,909,76
1026,293,9,965,90
1013,241,21,902,70
1058,187,26,1013,90
965,186,8,909,85
1086,170,15,1058,80
1125,179,13,977,84
1267,188,16,1102,93
1457,215,18,1007,110
1412,250,22,914,92
1329,252,24,982,90
1408,221,17,936,120
1305,232,17,876,112
1497,270,30,815,123
1221,297,16,927,104
1396,269,21,830,114
1454,284,21,906,113
1341,273,25,879,108
1348,276,21,840,111
1615,254,26,772,115
1449,271,38,807,112
1485,284,15,751,109
1447,272,24,754,104
1543,282,33,718,120
1444,311,24,865,116
1596,286,17,722,91
1399,297,21,782,119
1369,299,22,794,126
1337,300,26,845,116
1314,299,25,844,94
1381,288,26,789,96
1388,291,24,846,93
1307,299,35,845,99
1365,324,35,847,104
1193,289,16,880,123
1296,269,24,781,112
1362,292,25,857,102
1159,307,24,801,115
1147,353,26,827,97
1258,325,29,791,116
1200,316,17,868,113
1233,347,21,754,79
1134,286,19,836,84
1188,336,18,818,124
1054,282,18,771,98
1034,263,11,690,83
1030,308,17,713,85
943,245,12,654,62
918,236,13,642,59
870,284,12,560,64
1197,264,42,652,92
991,265,12,758,70
986,290,16,844,86
897,233,20,708,74
1008,217,9,793,71
736,171,20,553,73
874,186,13,741,67
1171,224,15,841,74
951,188,19,790,78
1097,188,22,851,76
1087,216,17,909,83
1345,215,13,839,108
1158,224,14,789,89
1147,233,24,817,83
1151,241,17,798,101
1362,242,20,759,103
1011,205,11,712,112
1210,246,18,695,98
1287,284,34,731,114
1399,275,17,667,103
1236,281,25,691,92
1239,294,20,639,106
1494,284,28,855,118
1353,264,20,724,110
1373,258,26,702,104
1413,287,22,666,131
1322,272,27,749,113
1490,284,28,767,124
1417,274,34,797,123
1312,282,21,738,113
1339,318,24,750,118
1352,324,27,810,114
1188,314,15,745,74
1212,298,27,750,105
1202,286,18,851,111
1281,283,29,779,105
1149,273,20,769,102
1111,304,19,726,113
1124,287,18,819,115
1001,321,21,747,95
1154,328,21,675,96
1133,335,16,693,95
1047,281,16,637,88
1157,332,18,697,105
1149,323,26,758,99
1004,287,16,683,88
1069,270,21,752,79
1015,259,15,617,89
974,314,26,744,72
993,278,9,651,78
1064,274,20,707,107
1025,304,14,653,67
1256,340,53,801,80
894,231,15,739,58
891,208,17,689,47
1017,217,24,816,67
1038,205,22,934,73
856,150,16,857,72
973,154,14,900,70
986,165,15,807,67
996,189,26,808,76
1150,200,20,894,91
1317,179,27,739,110
1339,203,30,758,118
1065,188,14,817,110
1012,209,22,757,79
1089,207,18,707,100
1122,238,17,705,106
1142,245,14,694,91
1298,260,29,739,95
1197,317,20,772,114
1338,257,25,646,99
1333,311,18,599,86
1373,301,26,686,97
1369,294,19,753,103
1407,294,31,619,119
1443,311,24,737,119
1218,280,21,750,108
1471,260,29,763,101
1379,302,23,805,131
1339,301,16,713,102
1234,324,23,663,88
1312,281,21,669,127
1201,301,22,513,95
1154,266,12,542,97
1225,292,15,705,106
1244,317,27,600,113
1201,274,20,668,106
1118,252,20,584,107
988,270,19,602,87
1063,286,16,601,81
1050,263,18,603,99
1040,287,17,575,89
1128,288,18,603,81
1100,285,19,540,101
1035,273,17,561,87
1047,289,16,550,87
963,287,11,555,88
990,268,13,561,71
989,288,17,651,97
1070,283,13,589,99
904,280,16,592,74
856,271,11,524,81
911,242,8,484,62
1097,292,53,626,92
839,267,9,639,71
879,271,19,692,70
843,202,13,669,63
872,237,16,661,70
847,193,16,698,70
880,172,16,773,84
893,185,19,653,68
938,174,23,768,70
985,175,16,778,57
996,178,19,789,86
967,149,18,685,73
928,183,13,731,70
1127,202,19,733,74
1071,196,15,724,87
1052,206,18,659,79
1111,209,22,664,87
1188,182,22,680,106
1152,211,18,675,104
1242,234,25,729,77
1136,223,26,688,96
1168,229,25,672,98
1183,230,20,685,75
1237,231,15,621,100
1319,218,23,630,100
1296,240,21,565,91
1317,268,22,710,81
1197,239,15,681,90
1258,290,26,618,79
1181,296,21,653,100
1037,271,20,721,92
1153,266,24,703,91
1109,258,27,682,74
1143,244,26,674,112
1148,236,19,647,92
1196,234,25,700,96
1159,239,22,604,87
1028,261,18,554,75
1024,267,16,627,87
1166,239,32,656,76
989,211,23,655,82
928,209,22,640,71
939,221,9,506,74
1043,267,16,631,85
917,207,11,656,79
805,221,9,656,66
963,226,19,633,73
787,195,13,588,65
849,228,21,598,87
754,208,10,487,51
873,300,8,549,64
791,229,11,422,64
931,223,28,450,85
629,157,7,384,59
842,177,12,609,75
742,193,13,526,54
739,197,19,545,61
744,135,12,521,54
772,156,16,594,35
844,110,10,610,63
810,136,15,606,60
797,122,13,616,60
924,141,17,617,61
964,161,12,597,69
877,144,14,607,77
949,145,15,610,77
1052,156,24,665,85
